keyword,tweet
gojek,ohh jadi orang2 kaya lo yg bkin macet disitu soalnya mesen gojek/grab tapi lo sendiri belom ada di titik yang alhasil bikin MACET PENGENDARA LAIN HIH KAGAK MIKIR LO YA GUE MUAK BGT TIAP LEWAT SITU MACETNYA SINTING TAPI CUMA DISITU JALUR GUE KALO NGAMPUS FAKLAH https://t.co/aB9n3CUoek
gojek,@Ordinaryjhonny depends sih tp gw gapernah pake grab krn akun gw bau wkwkwk so far pake gojek promonya mantep bgt buat beli ramean. trs bbrp hari kmrn baru tau shopee jg gacor untuk sistem grup order gini. https://t.co/A17FLRQNqO
gojek,"@tahutelurrrrr @sungkong15370 @ruang_comment @aishiteRIE2124 Itu uda sistem gojek, biasa, kalo deket malah ga muncul
Bukan gojek doang sih, tau indrive? Itu jg sering gitu dibawah 1km kadang ga muncul, ditunggu agak lama baru muncul, pdhl sistemnya lelang"
gojek,"@aesilyy yaelah balikin duit sendiri aja susah bener. udah lapor gojek, gopay, bank jawabannya sama walau nominal gak seberapa lumayan buat beli kopi"
gojek,"Gue ga pernah ngeh kalo Shopeefood lebih murah dari Grabfood &amp; Gofood tapi biasanya knp gue ga pake itu krn kadang resto yg gue mau ga ada.
Jd yang gue bisa bandingin cuma Grab &amp; Gojek, di gue selalu lebih murah Grab bisa selisih 10K 😅 (Gue pengguna Grab Unlimited &amp; Gojek Plus)"
gojek,@cassiocpeia @gtauadasiapadmn wow thanks for the insight.. otw pindah ke grab. padahal niatnya pake gojek krn support app local tp makin kesini makin jelek pelayanannya
gojek,"gue sering begini sama cowok gue kek berantem lucu drama aja gitu terus gue bilang, “aku turun sini aja ah aku mau naik gojek 😠” terus ntar gue duduknya menjauh dan melipat tangan (hmph!) habis itu dia ngegas motor loncat gitu biar gue tuinggg dan hap langsung mendekap dia hahay"
gojek,@kogamitsukee di gojek kee!
gojek,"tadi kan aku naik gojek trs payment nya cash, nah pas aku dah kasih uangnya aku bilang makasih abang nya tu no respon dan cengo trs dia manggil “ mba” trs aku bilang “ iya kenapa pak? uangnya kurang?” dan dia jwb “ helmnya 😅” 

YA ALLAH MALU BGT 😭😭😭😭🥲🥲🥲"
gojek,"@bayuprmno Adem dari ribut bal-balan, tapi muncul ribut fans kpop vs brand, ada yang fitnah petugas ke KAI, terbaru ada baginda raja ngadu ke Gojek"
